id,name,Architecture,Boost_Clock,Core_Speed,Memory,Memory_Speed,Memory_Bandwidth,DVI_Connection,Dedicated,Direct_X,HDMI_Connection,Integrated,L2_Cache,Manufacturer,Max_Power,Memory_Bus,Memory_Type,Power_Connector,Process,Resolution_WxH,SLI_Crossfire,price,url_name,img_of_gpu
323,Radeon R7 240 Gigabyte OC 2GB Edition,GCN 1.1 Oland PRO ,900,780,2048,900 MHz,28.8GB/sec,1,Yes,DX 12.0,1,No,512KB,AMD,30 Watts,128 Bit ,DDR3,None ,28nm,4096x2160,No,,,
324,Radeon R7 240 MSI Low Profile 4GB Edition,GCN 1.1 Oland PRO ,780,730,4096,900 MHz,28.8GB/sec,1,Yes,DX 12.0,1,No,512KB,AMD,35 Watts,128 Bit ,DDR3,None ,28nm,4096x2160,No,,,
325,Radeon R7 240 Asus Low Profile OC 4GB Edition,GCN 1.1 Oland PRO ,820,770,4096,900 MHz,28.8GB/sec,1,Yes,DX 12.0,1,No,512KB,AMD,35 Watts,128 Bit ,DDR3,None ,28nm,4096x2160,No,,,
326,Radeon R7 240 Asus 1GB Edition,GCN 1.1 Oland PRO ,780,730,1024,800 MHz,25.6GB/sec,1,Yes,DX 12.0,1,No,512KB,AMD,30 Watts,128 Bit ,DDR3,None ,28nm,4096x2160,No,,,
327,Radeon R7 240 MSI Low Profile 2GB Edition,GCN 1.1 Oland PRO ,780,730,2048,900 MHz,28.8GB/sec,1,Yes,DX 12.0,1,No,512KB,AMD,35 Watts,128 Bit ,DDR3,None ,28nm,4096x2160,No,,,
328,Radeon RX 460 HIS Slim-iCooler OC 4GB,GCN 1.3 Baffin XT ,1220,1090,4096,1750 MHz,,1,Yes,DX 12.0,1,No,1024KB,ATI,75 Watts,,,2x 8-pin ,14nm,5120x2880,No,,,
329,Radeon RX 560 Yeston Gaea 4GB,GCN 1.3 Baffin XT ,1275,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
330,Radeon RX 560 XFX Single Fan OC 4GB,GCN 1.3 Baffin XT ,1295,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
331,Radeon RX 560 XFX Double Dissipation OC 2GB,GCN 1.3 Baffin XT ,1295,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
332,Radeon RX 560 XFX Single Fan OC 2GB,GCN 1.3 Baffin XT ,1295,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
333,Radeon RX 560 XFX Double Dissipation OC 4GB,GCN 1.3 Baffin XT ,1295,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
334,Radeon RX 560 VisionTek Overclocked 2GB,GCN 1.3 Baffin XT ,1295,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
335,Radeon RX 560 Sapphire Pulse OC 2GB,GCN 1.3 Baffin XT ,1275,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
336,Radeon RX 560 XFX Slim Single Slot 2GB,GCN 1.3 Baffin XT ,1295,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
337,Radeon RX 560 Sapphire Pulse OC 4GB,GCN 1.3 Baffin XT ,1300,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
338,Radeon RX 560 Sapphire Pulse 4GB,GCN 1.3 Baffin XT ,1216,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,45 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
339,Radeon RX 560 PowerColor Red Dragon OC 4GB,GCN 1.3 Baffin XT ,1288,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
340,Radeon RX 560 PowerColor Red Dragon OC 2GB,GCN 1.3 Baffin XT ,1275,1180,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
341,Radeon RX 560 Sapphire Pulse Mining 4GB,GCN 1.3 Baffin XT ,1216,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
342,Radeon RX 560 Kuroutoshikou 4GB,GCN 1.3 Baffin XT ,1275,1180,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
343,Radeon RX 560 PowerColor Red Dragon OC V3 2GB,GCN 1.3 Baffin XT ,1275,1180,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
344,Radeon RX 560 HIS iCooler OC 2GB,GCN 1.3 Baffin XT ,1295,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
345,Radeon RX 560 HIS Green iCooler OC 2GB,GCN 1.3 Baffin XT ,1196,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
346,Radeon RX 560 PowerColor Red Dragon V3 4GB,GCN 1.3 Baffin XT ,1275,1180,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
347,Radeon RX 560 HIS Green iCooler OC 4GB,GCN 1.3 Baffin XT ,1196,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
348,Radeon RX 560 MSI Aero ITX OC 2GB,GCN 1.3 Baffin XT ,1320,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
349,Radeon RX 560 Dataland X-Serial War 4GB,GCN 1.3 Baffin XT ,1275,1180,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,75 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
350,Radeon RX 560 Gigabyte Gaming OC 4GB,GCN 1.3 Baffin XT ,1275,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
351,Radeon RX 560 MSI Aero ITX OC 4GB,GCN 1.3 Baffin XT ,1320,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
352,Radeon RX 560 Gigabyte Gaming OC 2GB,GCN 1.3 Baffin XT ,1287,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
353,Radeon RX 560 Dataland X-Serial God of War 4GB,GCN 1.3 Baffin XT ,1313,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,75 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
354,Radeon RX 560 Asus ROG Strix Gaming 4GB,GCN 1.3 Baffin XT ,1275,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,75 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
355,Radeon RX 560 Dataland X-Serial War 2GB,GCN 1.3 Baffin XT ,1275,1180,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
356,Radeon RX 560 Asus ROG Strix Gaming OC 4GB,GCN 1.3 Baffin XT ,1275,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,75 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
357,Radeon RX 560 Dataland X-Serial God of War 2GB,GCN 1.3 Baffin XT ,1313,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
358,Radeon RX 560 Asus Dual Fan OC 4GB,GCN 1.3 Baffin XT ,1275,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,75 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
359,Radeon RX 560 Asus Dual Fan 4GB,GCN 1.3 Baffin XT ,1275,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,75 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
360,Radeon RX 560 4GB,GCN 1.3 Baffin XT ,1275,1175,4096,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
361,Radeon RX 560 2GB,GCN 1.3 Baffin XT ,1275,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,80 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
362,Radeon RX 560 Asus Dual Fan OC 2GB,GCN 1.3 Baffin XT ,1275,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,75 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
363,Radeon RX 560 Asus Dual Fan 2GB,GCN 1.3 Baffin XT ,1275,1175,2048,1750 MHz,112GB/sec,0,Yes,DX 12.0,1,No,1024KB,AMD,75 Watts,128 Bit ,GDDR5,None ,14nm,5120x2880,No,,,
364,Radeon RX 550 4GB [not released],GCN 1.3 Baffin XT ,1200,1090,4096,1750 MHz,,1,Yes,DX 12.0,1,No,1024KB,AMD,75 Watts,,,None ,14nm,5120x2880,No,,,
365,Radeon RX 550 2GB [not released],GCN 1.3 Baffin XT ,1200,1090,2048,1750 MHz,,1,Yes,DX 12.0,1,No,1024KB,AMD,75 Watts,,,None ,14nm,5120x2880,No,,,
366,Radeon HD 7990,GCN 1.0 Malta ,1000,950,6144,1500 MHz,576GB/sec,1,Yes,DX 12.0,0,No,768KB(x2),AMD,375 Watts,384 Bit ,GDDR5,2x 8-pin ,28nm,2560x1600,Yes,,,
367,Radeon HD 8990 (OEM),GCN 1.0 Malta ,1000,950,6144,1500 MHz,576GB/sec,1,Yes,DX 12.0,0,No,768KB(x2),AMD,375 Watts,384 Bit ,GDDR5,2x 8-pin ,28nm,2560x1600,Yes,,,
368,Radeon HD 7970 GHz Toxic 6GB Edition,GCN 1.0 Tahiti XT2 ,1150,1100,6144,1500 MHz,288GB/sec,2,Yes,DX 12.0,1,No,768KB,AMD,265 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
369,Radeon HD 7970 GHz Vapor-X 3GB,GCN 1.0 Tahiti XT2 ,1100,1000,3072,1500 MHz,288GB/sec,2,Yes,DX 12.0,1,No,768KB,AMD,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
370,Radeon HD 7970 GHz XFX Double D Edition,GCN 1.0 Tahiti XT2 ,1100,1050,3072,1500 MHz,288GB/sec,1,Yes,DX 12.0,1,No,768KB,AMD,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
371,Radeon HD 7970 GHz Vapor-X 6GB Edition,GCN 1.0 Tahiti XT2 ,1100,1050,6144,1500 MHz,288GB/sec,2,Yes,DX 12.0,1,No,768KB,AMD,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
372,Radeon HD 7970 GHz WindForce 3X OC Edition,GCN 1.0 Tahiti XT2 ,1100,1050,3072,1500 MHz,288GB/sec,2,Yes,DX 12.0,1,No,768KB,AMD,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
373,Radeon HD 7970 GHz HIS IceQ 3GB Edition,GCN 1.0 Tahiti XT2 ,1050,1000,3072,1500 MHz,288GB/sec,1,Yes,DX 12.0,1,No,768KB,AMD,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
374,Radeon HD 7970 GHz MSI Lightning BE 3GB Edition,GCN 1.0 Tahiti XT2 ,1150,1070,3072,1500 MHz,288GB/sec,2,Yes,DX 12.0,0,No,768KB,AMD,300 Watts,384 Bit ,GDDR5,1x 6-pin + 1x 8-pin ,28nm,4096x2160,Yes,,,
375,Radeon HD 7970 GHz Edition,GCN 1.0 Tahiti XT2 ,1050,1000,3072,1500 MHz,288GB/sec,1,Yes,DX 12.0,1,No,768KB,AMD,250 Watts,384 Bit ,GDDR5,2x 8-pin ,28nm,4096x2160,Yes,,,
376,Radeon HD 7970 Club3D royalAce Edition,GCN 1.0 Tahiti XT2 ,1100,1050,3072,1500 MHz,288GB/sec,2,Yes,DX 12.0,1,No,768KB,AMD,250 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
377,Radeon HD 7970 Asus ARES II Edition,GCN 1.0 Malta ,1100,1050,6144,1650 MHz,633.6GB/sec,2,Yes,DX 12.0,1,No,768KB(x2),AMD,500 Watts,384 Bit ,GDDR5,None ,28nm,2560x1600,Yes,,,
378,Radeon HD 7970 GHz Matrix Platinum Edition,GCN 1.0 Tahiti XT2 ,1100,1050,3072,1650 MHz,316.8GB/sec,2,Yes,DX 12.0,0,No,768KB,AMD,300 Watts,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
379,Radeon HD 7950 WindForce Boost Edition,GCN 1.0 Tahiti PRO2 ,1000,900,3072,1250 MHz,240GB/sec,0,Yes,DX 12.0,0,No,768KB,AMD,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
380,Radeon HD 7950 VTX3D 3GB Boost X-Edition,GCN 1.0 Tahiti PRO2 ,930,880,3072,1250 MHz,240GB/sec,1,Yes,DX 12.0,1,No,768KB,AMD,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
381,Radeon HD 7950 Sapphire 3GB Boost Edition,GCN 1.0 Tahiti PRO2 ,925,850,3072,1250 MHz,240GB/sec,1,Yes,DX 12.0,1,No,768KB,AMD,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
382,Radeon HD 7950 MSI OC Black Edition ,GCN 1.0 Tahiti PRO ,840,830,3072,1250 MHz,240GB/sec,1,Yes,DX 12.0,1,No,768KB,AMD,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
383,Radeon HD 7950 MSI TwinFrozr Boost Edition,GCN 1.0 Tahiti PRO2 ,960,880,3072,1250 MHz,240GB/sec,1,Yes,DX 12.0,1,No,768KB,AMD,200 Watts,384 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
384,Radeon HD 7950 Boost Edition Crossfire,GCN 1.0 Tahiti PRO2 (x2) ,925,850,6144,1250 MHz,480GB/sec,1,Yes,DX 12.0,1,No,768KB(x2),AMD,,384 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
385,Radeon HD 7950 Boost Edition,GCN 1.0 Tahiti PRO2 ,925,850,3072,1250 MHz,240GB/sec,1,Yes,DX 12.0,1,No,768KB,AMD,200 Watts,384 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
386,Radeon HD 7870 XT PowerColor Myst. Edition,GCN 1.0 Tahiti LE ,975,925,2048,1500 MHz,192GB/sec,1,Yes,DX 12.0,1,No,512KB,AMD,185 Watts,256 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
387,Radeon HD 8860 (OEM),GCN 1.1 Curacao PRO ,925,900,2048,1400 MHz,179.2GB/sec,1,Yes,DX 12.0,1,No,512KB,AMD,150 Watts,256 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
388,Radeon HD 8670 (OEM),GCN 1.1 Oland XT ,1050,1000,2048,1150 MHz,73.6GB/sec,1,Yes,DX 12.0,1,No,512KB,AMD,75 Watts,128 Bit ,GDDR5,None ,28nm,2560x1600,Yes,,,
389,Radeon HD 8570 (OEM),GCN 1.1 Oland PRO ,780,730,2048,900 MHz,28.8GB/sec,1,Yes,DX 12.0,1,No,512KB,AMD,30 Watts,128 Bit ,DDR3,None ,28nm,4096x2160,No,,,
390,GeForce GTX 690 SLI,Kepler GK104-355-A2 (x2) ,1019,915,8192,1502 MHz,769GB/sec,0,Yes,DX 12.0,0,No,1024KB(x2),Nvidia,600 Watts,512 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
391,GeForce GTX 680 Zotac 4GB Edition,Kepler GK104-400-A2 ,1058,1006,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,195 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
392,GeForce GTX 690,Kepler GK104-355-A2 ,1019,915,4096,1500 MHz,384GB/sec,3,Yes,DX 12.0,0,No,512KB(x2),Nvidia,300 Watts,256 Bit ,GDDR5,2x 8-pin ,28nm,4096x2160,Yes,,,
393,GeForce GTX 690 Asus 4GB Edition,Kepler GK104-355-A2 ,1019,915,4096,1502 MHz,384.5GB/sec,3,Yes,DX 12.0,1,No,1024KB,Nvidia,385 Watts,512 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
394,GeForce GTX 980 Zotac AMP! Omega Core 4GB Edition,Maxwell GM204-400-A1 ,1317,1216,4096,1762 MHz,225.5GB/sec,1,Yes,DX 12.1,1,No,2048KB,Nvidia,200 Watts,256 Bit ,GDDR5,2x 6-pin ,28nm,5120x3200,Yes,,,
395,GeForce GTX 680 Zotac AMP Edition ,Kepler GK104-400-A2 ,1175,1110,2048,1652 MHz,211.5GB/sec,1,Yes,DX 12.0,2,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
396,GeForce GTX 680 WinFast 4GB Edition,Kepler GK104-400-A2 ,1058,1006,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,195 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
397,GeForce GTX 680 Quad SLI,Kepler GK104-400-A2 (x4) ,1058,1006,8192,1502 MHz,769GB/sec,0,Yes,DX 12.0,0,No,512KB(x4),Nvidia,780 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
398,GeForce GTX 690 Hydro Copper Signature Edition,Kepler GK104-355-A2 ,1045,993,4096,1502 MHz,384.5GB/sec,3,Yes,DX 12.0,0,No,1024KB,Nvidia,,512 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
399,GeForce GTX 680 Phantom 2GB Edition,Kepler GK104-400-A2 ,1150,1084,2048,1575 MHz,201.6GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
400,GeForce GTX 680 Twin Frozr OC Edition,Kepler GK104-400-A2 ,1124,1058,2048,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,195 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
401,GeForce GTX 680 PNY XLR8 Enthusiast 4GB Edition,Kepler GK104-400-A2 ,1058,1006,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,195 Watts,256 Bit ,GDDR5,2x 6-pin ,28nm,4096x2160,Yes,,,
402,GeForce GTX 680 Phantom 4GB Edition,Kepler GK104-400-A2 ,1058,1006,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,195 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
403,GeForce GTX 680 Palit Jetstream 2GB Edition,Kepler GK104-400-A2 ,1150,1084,2048,1575 MHz,201.6GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,215 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
404,GeForce GTX 680 Palit Jetstream 4GB Edition,Kepler GK104-400-A2 ,1058,1006,4096,1502 MHz,192.3GB/sec,2,Yes,DX 12.0,1,No,512KB,Nvidia,215 Watts,256 Bit ,GDDR5,None ,28nm,4096x2160,Yes,,,
405,GeForce GTX 1080 Ti Zotac Founders Edition 11GB,Pascal P102 ,1582,1480,11264,1376 MHz,484.4GB/sec,2,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
406,GeForce GTX 1080 Zotac AMP 8GB Edition,Pascal P104-400-A1 ,1822,1683,8192,1251 MHz,320.3GB/sec,1,Yes,DX 12.1,1,No,2048KB,Nvidia,250 Watts,256 Bit ,GDDR5X,2x 8-pin ,16nm,7680x4320,Yes,,,
407,GeForce GTX 1080 Ti Zotac AMP! Extreme,Pascal P102 ,1759,1645,11264,1402 MHz,493.5GB/sec,1,Yes,DX 12.1,1,No,1536KB(x2),Nvidia,220 Watts,176 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
408,GeForce GTX 1080 Zotac Founders 8GB Edition,Pascal P104-400-A1 ,1733,1607,8192,1251 MHz,320.3GB/sec,1,Yes,DX 12.1,1,No,2048KB,Nvidia,180 Watts,256 Bit ,GDDR5X,1x 8-pin ,16nm,7680x4320,Yes,,,
409,GeForce GTX 1080 Zotac AMP Extreme 8GB Edition,Pascal P104-400-A1 ,1911,1771,8192,1350 MHz,345.6GB/sec,1,Yes,DX 12.1,1,No,2048KB,Nvidia,250 Watts,256 Bit ,GDDR5X,2x 8-pin ,16nm,7680x4320,Yes,,,
410,GeForce GTX 1080 Ti Zotac PGF Extreme OC,Pascal P102 ,1582,1480,11264,1376 MHz,484.4GB/sec,1,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
411,GeForce GTX 1080 Ti SLI,Pascal P102 ,1582,1480,11264,1376 MHz,484.4GB/sec,2,Yes,DX 12.1,1,No,1536KB(x2),Nvidia,220 Watts,176 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x3200,Yes,,,
412,GeForce GTX 1080 Ti Zotac AMP!,Pascal P102 ,1683,1569,11264,1376 MHz,484.4GB/sec,2,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
413,GeForce GTX 1080 Ti PNY Founders Edition 11GB,Pascal P102 ,1582,1480,11264,1376 MHz,484.4GB/sec,2,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
414,GeForce GTX 1080 Ti MSI Lightning X 11GB,Pascal P102 ,1582,1480,11264,1376 MHz,484.4GB/sec,2,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,None ,16nm,7680x4320,Yes,,,
415,GeForce GTX 1080 Ti MSI Gaming 11GB,Pascal P102 ,1620,1506,11264,1376 MHz,484.4GB/sec,1,Yes,DX 12.1,2,No,768KB(x4),Nvidia,250 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
416,GeForce GTX 1080 Ti MSI Sea Hawk X 11GB,Pascal P102 ,1683,1569,11264,1390 MHz,489.3GB/sec,1,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
417,GeForce GTX 1080 Ti Palit Founders Edition 11GB,Pascal P102 ,1582,1480,11264,1376 MHz,484.4GB/sec,2,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,None  ,16nm,7680x4320,Yes,,,
418,GeForce GTX 1080 Ti MSI Gaming X 11GB,Pascal P102 ,1582,1480,11264,1376 MHz,484.4GB/sec,2,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
419,GeForce GTX 1080 Ti MSI Founders Edition 11GB,Pascal P102 ,1582,1480,11264,1376 MHz,484.4GB/sec,2,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
420,GeForce GTX 1080 Ti MSI Sea Hawk 11GB,Pascal P102 ,1620,1506,11264,1376 MHz,484.4GB/sec,1,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
421,GeForce GTX 1080 Ti MSI Armor 11GB Edition,Pascal P102 ,1582,1480,11264,1376 MHz,484.4GB/sec,2,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
422,GeForce GTX 1080 Ti MSI Armor OC 11GB,Pascal P102 ,1645,1531,11264,1376 MHz,484.4GB/sec,1,Yes,DX 12.1,2,No,768KB(x4),Nvidia,250 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
423,GeForce GTX 1080 Ti Kuroutoshikou Founders Edition 11GB,Pascal P102 ,1582,1480,11264,1376 MHz,484.4GB/sec,2,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
424,GeForce GTX 1080 Ti Inno3D iChiLL X3 Ultra 11GB,Pascal P102 ,1721,1607,11264,1426 MHz,502GB/sec,1,Yes,DX 12.1,1,No,3072KB,Nvidia,220 Watts,352 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x3200,Yes,,,
425,GeForce GTX 1080 Ti Manli F369G 11GB,Pascal P102 ,1582,1480,11264,1376 MHz,484.4GB/sec,2,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
426,GeForce GTX 1080 Ti Inno3D iChiLL X4 11GB,Pascal P102 ,1683,1569,11264,1426 MHz,502GB/sec,1,Yes,DX 12.1,1,No,768KB(x4),Nvidia,220 Watts,88 Bit ,GDDR5X,1x 6-pin + 1x 8-pin ,16nm,7680x4320,Yes,,,
